cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
pvo61ay8,,Medline,Detection of SARS-CoV-2 antibodies using commercial assays and seroconversion patterns in hospitalized patients.,10.1016/j.jinf.2020.05.077,,32504735,unk,"OBJECTIVES SARS-CoV-2 antibody assays are needed for serological surveys and as a complement to molecular tests to confirm COVID-19. However, the kinetics of the humoral response against SARS-CoV-2 remains poorly described and relies on the performance of the different serological tests. METHODS In this study, we evaluated the performance of six CE-marked point-of-care tests (POC) and three ELISA assays for the diagnosis of COVID-19 by exploring seroconversions in hospitalized patients who tested positive for SARS-CoV-2 RNA. RESULTS Both the ELISA and POC tests were able to detect SARS-CoV-2 antibodies in at least half of the samples collected seven days or more after the onset of symptoms. After 15 days, the rate of detection rose to over 80% but without reaching 100%, irrespective of the test used. More than 90% of the samples collected after 15 days tested positive using the iSIA and Accu-Tell® POC tests and the ID.Vet IgG ELISA assay. Seroconversion was observed 5 to 12 days after the onset of symptoms. Three assays suffer from a specificity below 90% (EUROIMMUN IgG and IgA, UNscience, Zhuhai Livzon). CONCLUSIONS The second week of COVID-19 seems to be the best period for assessing the sensitivity of commercial serological assays. To achieve an early diagnosis of COVID-19 based on antibody detection, a dual challenge must be met: the immunodiagnostic window period must be shortened and an optimal specificity must be conserved.",2020-06-03,"Tuaillon, E; Bolloré, K; Pisoni, A; Debiesse, S; Renault, C; S, Marie; S, Groc; C, Niels; N, Pansu; Am, Dupuy; D, Morquin; V, Foulongne; A, Bourdin; V, Le Moing; P, Van de Perre",The Journal of infection,,,,,,https://doi.org/10.1016/j.jinf.2020.05.077; https://www.ncbi.nlm.nih.gov/pubmed/32504735/,219528658
0zzs5cy8,,Medline,Screening of COVID-19 in children admitted to the hospital for acute problems: preliminary data.,10.23750/abm.v91i2.9607,,32420929,unk,"BACKGROUND The new Coronavirus identified in Whuan at the end of 2019 (SARS-CoV-2) belongs to the Beta Coronavirus genus and is responsible for the new Coronavirus 2019 pandemia (COVID-19). Infected children may be asymptomatic or present fever, dry cough, fatigue or gastrointestinal symptoms. The CDC recommends that clinicians should decide to test patients based on the presence of signs and symptoms compatible with COVID-19. MATERIAL AND METHODS 42 children (the majority < 5 years of age) were referred, to our Pediatric Department, as possible cases of COVID-19 infection. Blood analysis, chest X-ray, and naso-oropharyngeal swab specimens for viral identification of COVID-19 were requested. RESULTS None of the screened children resulted positive for COVID-19 infection. At first presentation, the most frequent signs and symptoms were: fever (71.4%), fatigue (35.7%) and cough (30.9%). An high C-reactive protein value and abnormalities of chest X-ray (bronchial wall thickening) were detected in 26.2% and 19% of patients, respectively. Almost half of patients (45.2%) required hospitalization in our Pediatric Unit and one patient in Intensive Care Unit. CONCLUSIONS Testing people who meet the COVID-19 suspected case definition criteria is essential for clinical management and outbreak control. Children of all ages can get COVID-19, although they appear to be affected less frequently than adults, as reported in our preliminary survey. Further studies are needed to confirm our observations.",2020-05-11,"Nicoletti, Angela; Talarico, Valentina; Sabetta, Lucilla; Minchella, Pasquale; Colosimo, Manuela; Fortugno, Carmelo; Galati, Maria Concetta; Raiola, Giuseppe",Acta bio-medica : Atenei Parmensis,,,,,,https://doi.org/10.23750/abm.v91i2.9607; https://www.ncbi.nlm.nih.gov/pubmed/32420929/,218678441
tr5whji0,,Medline,Current perspectives on Coronavirus 2019 (COVID-19) and cardiovascular disease: A white paper by the JAHA editors.,10.1161/jaha.120.017013,,32347144,unk,"Coronavirus Disease 2019 (COVID-19), caused by the Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2), has infected more than 3.0 million people worldwide and killed more than 200,000 as of April 27, 2020, making it the most lethal pandemic since the Spanish flu of 1918.1, 2 COVID-19 may preferentially infect individuals with cardiovascular conditions, is more severe in subjects with cardiovascular comorbidities, may directly or indirectly affect the heart and may interact with cardiovascular medications.3 In addition, the widespread effects of the pandemic on the global healthcare system affects the routine and emergency cardiac care for patients who are, may be, or are not infected with COVID-19.",2020-04-29,"Gupta, Ajay K; Jneid, Hani; Addison, Daniel; Ardehali, Hossein; Boehme, Amelia K; Borgaonkar, Sanket; Boulestreau, Romain; Clerkin, Kevin; Delarche, Nicolas; DeVon, Holli A; Grumbach, Isabella M; Gutierrez, Jose; Jones, Daniel A; Kapil, Vikas; Maniero, Carmela; Mentias, Amgad; Miller, Pamela S; May Ng, Sher; Parekh, Jai D; Sanchez, Reynaldo H; Teodor Sawicki, Konrad; S J M Te Riele, Anneline; Ann Remme, Carol; London, Barry",Journal of the American Heart Association,,,,,,https://doi.org/10.1161/jaha.120.017013; https://www.ncbi.nlm.nih.gov/pubmed/32347144/,216645614
pi6a2ql7,,Medline,Isolation and Characterization of a Novel Bat Coronavirus Closely Related to the Direct Progenitor of Severe Acute Respiratory Syndrome Coronavirus.,10.1128/jvi.02582-15,,26719272,unk,"We report the isolation and characterization of a novel bat coronavirus which is much closer to the severe acute respiratory syndrome coronavirus (SARS-CoV) in genomic sequence than others previously reported, particularly in its S gene. Cell entry and susceptibility studies indicated that this virus can use ACE2 as a receptor and infect animal and human cell lines. Our results provide further evidence of the bat origin of the SARS-CoV and highlight the likelihood of future bat coronavirus emergence in humans.",2015,"Yang, Xing-Lou; Hu, Ben; Wang, Bo; Wang, Mei-Niang; Zhang, Qian; Zhang, Wei; Wu, Li-Jun; Ge, Xing-Yi; Zhang, Yun-Zhi; Daszak, Peter; Wang, Lin-Fa; Shi, Zheng-Li",Journal of virology,,,,,,https://doi.org/10.1128/jvi.02582-15; https://www.ncbi.nlm.nih.gov/pubmed/26719272/,22885598
d4rphs30,,Medline,Registries Offer Insights on COVID-19-Cancer Connection.,10.1158/2159-8290.cd-nb2020-050,,32471876,unk,"Findings from CCC19 and TERAVOLT suggest that patients with cancer may be more likely to die from COVID-19 than people in the general population. Additional mortality risk factors may include age, performance status, treatment with chemotherapy, and exposure to hydroxychloroquine plus azithromycin.",2020-05-29,,Cancer discovery,,,,,,https://doi.org/10.1158/2159-8290.cd-nb2020-050; https://www.ncbi.nlm.nih.gov/pubmed/32471876/,219104762
vbye4nrj,,Medline,Human coronavirus in young children hospitalized for acute respiratory illness and asymptomatic controls.,10.1097/inf.0b013e31823e07fe,,22094637,unk,"BACKGROUND Human coronaviruses (HCoVs) have been detected in children with upper and lower respiratory symptoms, but little is known about their relationship with severe respiratory illness. OBJECTIVE To compare the prevalence of HCoV species among children hospitalized for acute respiratory illness and/or fever (ARI/fever) with that among asymptomatic controls and to assess the severity of outcomes among hospitalized children with HCoV infection compared with other respiratory viruses. METHODS From December 2003 to April 2004 and October 2004 to April 2005, we conducted prospective, population-based surveillance of children <5 years of age hospitalized for ARI/fever in 3 US counties. Asymptomatic outpatient controls were enrolled concurrently. Nasal/throat swabs were tested for HCoV species HKU1, NL63, 229E, and OC43 by real-time reverse-transcription polymerase chain reaction. Specimens from hospitalized children were also tested for other common respiratory viruses. Demographic and medical data were collected by parent/guardian interview and medical chart review. RESULTS Overall, HCoV was detected in 113 (7.6%) of 1481 hospitalized children (83 [5.7%] after excluding 30 cases coinfected with other viruses) and 53 (7.1%) of 742 controls. The prevalence of HCoV or individual species was not significantly higher among hospitalized children than controls. Hospitalized children testing positive for HCoV alone tended to be less ill than those infected with other viruses, whereas those coinfected with HCoV and other viruses were clinically similar to those infected with other viruses alone. CONCLUSIONS In this study of children hospitalized for ARI/fever, HCoV infection was not associated with hospitalization or with increased severity of illness.",2012,"Prill, Mila M; Iwane, Marika K; Edwards, Kathryn M; Williams, John V; Weinberg, Geoffrey A; Staat, Mary A; Willby, Melisa J; Talbot, H Keipp; Hall, Caroline B; Szilagyi, Peter G; Griffin, Marie R; Curns, Aaron T; Erdman, Dean D",The Pediatric infectious disease journal,,,,,,https://doi.org/10.1097/inf.0b013e31823e07fe; https://www.ncbi.nlm.nih.gov/pubmed/22094637/,52806546
qu7ddcw9,,Medline,Vaccines for SARS-CoV-2: Lessons from Other Coronavirus Strains.,10.1007/s40121-020-00300-x,,32328978,unk,"The emergence of the strain of coronavirus SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) and its impact on global health have made imperative the development of effective and safe vaccines for this lethal strain. SARS-CoV-2 now adds to the list of coronavirus diseases that have threatened global health, along with the SARS (severe acute respiratory syndrome) and MERS (Middle East respiratory syndrome) coronaviruses that emerged in 2002/2003 and 2012, respectively. As of April 2020, no vaccine is commercially available for these coronavirus strains. Nevertheless, the knowledge obtained from the vaccine development efforts for MERS and SARS can be of high value for COVID-19 (coronavirus disease 2019). Here, we review the past and ongoing vaccine development efforts for clinically relevant coronavirus strains with the intention that this information helps in the development of effective and safe vaccines for COVID-19. In addition, information from naturally exposed individuals and animal models to coronavirus strains is described for the same purpose of helping into the development of effective vaccines against COVID-19.",2020-04-23,"Padron-Regalado, Eriko",Infectious diseases and therapy,,,,,,https://doi.org/10.1007/s40121-020-00300-x; https://www.ncbi.nlm.nih.gov/pubmed/32328978/,216109305
fowfz59x,,Medline,How Fear Appeal Approaches in COVID-19 Health Communication May Be Harming the Global Community.,10.1177/1090198120935073,,32527161,unk,"As health professionals develop health communication for coronavirus disease 2019 (COVID-19), we implore that these communication approaches do not include fear appeals. Fear appeals, also known as scare tactics, have been widely used to promote recommended preventive behaviors. We contend that unintended negative outcomes can result from fear appeals that intensify the already complex pandemic and efforts to contain it. We encourage public health professionals to reevaluate their desire to use fear appeals in COVID-19 health communication and recommend that evidence-based health communication be utilized to address the needs of a specific community, help people understand what they are being asked to do, explain step-by-step how to complete preventative behaviors, and consider external factors needed to support the uptake of behaviors. To aid health professionals in redirecting away from the use of fear appeals, we offer a phased approach to creating health communication messages during the COVID-19 crisis.",2020-06-11,"Stolow, Jeni A; Moses, Lina M; Lederer, Alyssa M; Carter, Rebecca",Health education & behavior : the official publication of the Society for Public Health Education,,,,,,https://doi.org/10.1177/1090198120935073; https://www.ncbi.nlm.nih.gov/pubmed/32527161/,219606535
hchioraj,,Medline,Computational Models Identify Several FDA Approved or Experimental Drugs as Putative Agents Against SARS-CoV-2.,10.26434/chemrxiv.12153594.v1,,32511287,unk,"The outbreak of a novel human coronavirus (SARS-CoV-2) has evolved into global health emergency, infecting hundreds of thousands of people worldwide. We have identified experimental data on the inhibitory activity of compounds tested against closely related (96% sequence identity, 100% active site conservation) protease of SARS-CoV and employed this data to build QSAR models for this dataset. We employed these models for virtual screening of all drugs from DrugBank, including compounds in clinical trials. Molecular docking and similarity search approaches were explored in parallel with QSAR modeling, but molecular docking failed to correctly discriminate between experimentally active and inactive compounds. As a result of our studies, we recommended 41 approved, experimental, or investigational drugs as potential agents against SARS-CoV-2 acting as putative inhibitors of Mpro. Ten compounds with feasible prices were purchased and are awaiting the experimental validation..",2020-04-22,"Bobrowski, Tesia; Alves, Vinicius; Melo-Filho, Cleber C; Korn, Daniel; Auerbach, Scott S; Schmitt, Charles; Muratov, Eugene; Tropsha, Alexander",ChemRxiv : the preprint server for chemistry,,,,,,https://doi.org/10.26434/chemrxiv.12153594.v1; https://www.ncbi.nlm.nih.gov/pubmed/32511287/,219551086
0t2a5500,,Medline,Intraspecies diversity of SARS-like coronaviruses in Rhinolophus sinicus and its implications for the origin of SARS coronaviruses in humans.,10.1099/vir.0.016378-0,,20016037,unk,"The Chinese rufous horseshoe bat (Rhinolophus sinicus) has been suggested to carry the direct ancestor of severe acute respiratory syndrome (SARS) coronavirus (SCoV), and the diversity of SARS-like CoVs (SLCoV) within this Rhinolophus species is therefore worth investigating. Here, we demonstrate the remarkable diversity of SLCoVs in R. sinicus and identify a strain with the same pattern of phylogenetic incongruence (i.e. an indication of recombination) as reported previously in another SLCoV strain. Moreover, this strain possesses a distinctive 579 nt deletion in the nsp3 region that was also found in a human SCoV from the late-phase epidemic. Phylogenetic analysis of the Orf1 region suggested that the human SCoVs are phylogenetically closer to SLCoVs in R. sinicus than to SLCoVs in other Rhinolophus species. These findings reveal a closer evolutionary linkage between SCoV in humans and SLCoVs in R. sinicus, defining the scope of surveillance to search for the direct ancestor of human SCoVs.",2010,"Yuan, Junfa; Hon, Chung-Chau; Li, Yan; Wang, Dingming; Xu, Gelin; Zhang, Huajun; Zhou, Peng; Poon, Leo L M; Lam, Tommy Tsan-Yuk; Leung, Frederick Chi-Ching; Shi, Zhengli",The Journal of general virology,,,,,,https://doi.org/10.1099/vir.0.016378-0; https://www.ncbi.nlm.nih.gov/pubmed/20016037/,1165351
